Imants Ziedonis,42

Total frames:,132
Consolidated frames:,30

> Consolidated frames: <

Status,Type,Count,SourceId
,0,2,,"(4, 46)","(2, 44)","(3, 45)","(1, 42)"
,22,1,Pipeline parse at 2013-10-12T05:43:25.735044,"(6, 75168)","(3, 42)","(2, 75173)"
,22,1,Pipeline parse at 2013-10-12T05:43:25.735148,"(6, 75168)","(3, 42)","(2, 75173)"
,22,1,Pipeline parse at 2013-10-12T05:37:41.446672,"(6, 75168)","(3, 42)","(2, 77981)"
,22,1,Pipeline parse at 2013-10-12T05:49:01.704363,"(6, 75168)","(3, 42)","(2, 103510)"
,22,1,Pipeline parse at 2013-10-12T05:53:47.646327,"(6, 75168)","(3, 42)","(2, 103510)"
,22,1,Pipeline parse at 2013-10-12T05:55:20.191331,"(6, 75168)","(3, 42)","(2, 77981)"
,22,1,Pipeline parse at 2013-10-12T06:00:37.754865,"(6, 75168)","(3, 42)","(2, 75173)"
,22,1,Pipeline parse at 2013-10-12T05:36:23.389238,"(6, 75168)","(3, 42)","(2, 75173)"
,22,1,Pipeline parse at 2013-10-12T05:49:13.643382,"(6, 75168)","(3, 42)","(2, 75173)"
,22,1,Pipeline parse at 2013-10-12T05:57:31.968230,"(6, 75168)","(3, 42)","(2, 77981)"
,22,1,Manual sample data - kasjauns.lv,"(1, 42)","(2, 66)","(6, 56)"
,22,1,Pipeline parse at 2013-10-12T05:37:05.981778,"(6, 75168)","(3, 42)","(2, 77981)"
,22,1,Pipeline parse at 2013-10-12T06:00:21.564388,"(6, 75168)","(3, 42)","(2, 75176)"
,22,1,Pipeline parse at 2013-10-12T05:43:25.735724,"(6, 75168)","(3, 42)","(2, 75173)"
,22,1,Pipeline parse at 2013-10-12T05:59:09.405749,"(6, 75168)","(3, 42)","(2, 77981)"
,22,1,Pipeline parse at 2013-10-12T05:37:05.981684,"(6, 75168)","(3, 42)","(2, 77981)"
,22,1,Pipeline parse at 2013-10-12T05:32:13.118355,"(6, 75392)","(5, 75392)","(3, 42)"
,22,1,Pipeline parse at 2013-10-12T05:55:20.191430,"(6, 75168)","(3, 42)","(2, 77981)"
,22,1,Pipeline parse at 2013-10-12T05:41:25.759324,"(6, 75168)","(3, 42)","(2, 77981)"
,22,1,Pipeline parse at 2013-10-12T05:52:51.549223,"(3, 42)","(2, 114503)"
,22,1,Pipeline parse at 2013-10-12T05:37:27.424513,"(6, 75168)","(3, 42)","(2, 75176)"
,22,1,Pipeline parse at 2013-10-12T05:57:31.967723,"(6, 75168)","(3, 42)","(2, 77981)"
,22,1,Pipeline parse at 2013-10-12T05:53:47.646221,"(6, 75168)","(3, 42)","(2, 103510)"
,22,1,Pipeline parse at 2013-10-12T05:59:09.406140,"(6, 75168)","(3, 42)","(2, 77981)"
,22,1,Pipeline parse at 2013-10-12T05:42:55.850314,"(6, 75168)","(3, 42)","(2, 75173)"
,22,1,Pipeline parse at 2013-10-12T05:49:13.643839,"(6, 77269)","(3, 42)","(2, 75173)"
,22,1,Pipeline parse at 2013-10-12T05:42:55.850886,"(6, 77269)","(3, 42)","(2, 75173)"
,22,1,Pipeline parse at 2013-10-12T05:49:13.643175,"(6, 75168)","(3, 42)","(2, 75173)"
